נושא,הפניה,,נושאים
הלוואות ומסגרת חשבון,"שלום, מבקש שדויד יחזור אלי בהקדם לגבי ההלוואה שהיה צריך להעמיד היום",,הלוואות ומסגרת חשבון
הלוואות ומסגרת חשבון,מבקש שידברו איתי בהקדם מחר או בראשון להאריך את מסגרת האשראי שיש לי בחשבון. פניתי כבר 3 פעמים!!,,מטבע חוץ
מטבע חוץ,שלום לא רואה את המטבע חוץ שלי במערכת. אודה לבדיקה זריזה.,,פקדונות וחסכונות
פקדונות וחסכונות,לא יכול לבצע הפקדה לפקמ באפליקציה. מבקש שתתנו את ההרשאה הרלוונטית.,,נושאים נוספים
נושאים נוספים,שלום מבקש שיצרו איתי קשר בהקדם מהסניף. אני מבקש לסגור את החשבון ולעבור לבנק אחר. השירות שלכם מתחת לכל ביקורת. בושה וחרפה.,,משכנתאות
פקדונות וחסכונות,בלתי אפשרי כשלא מקבלים שירות יש לי 1.6מש״ח שאני רוצה לשים בפקמ וכבר שבועים לא מצליח רק אתמול נתנו לי הרשאה אבל עדיין לא הצלחתי לבצע את הפעולה מעבר לכך רודף אחרי בנק לאומי למשכנתאות בכדי לחסל את המשכנתא וגם זה משימה בלתי אפשרית שלושה שבועות ולא חזרו אלי.,,ניירות ערך
משכנתאות,שלום שוב פונה לאחר חוסר תגובה ומענה. מנסה לתאם פגישה למחזור המשכנתא מעל חודש ולא חוזרים אלי. לחילופין לחסל את המשכנתא הקיימת. איך אתם יכולים לעזור? זה נהיה בלתי אפשרי לקבל שירות מבנק לאומי. אודה מאוד לעזרתכם,,כרטיסי אשראי
ניירות ערך,שלום מבקש שיצרו איתי קשר לגבי עמלות פעולה בני״ע. בתקופה האחרונה בצעתי מספר פעולות והעמלות יקרות בטירוף. פי 10 מכל ברוקר אחר.,,אישורים ודוחות
הלוואות ומסגרת חשבון,הי קיבלתי הודעה שמסגרת האשראי שלי עומדת להיגמר. שמתי לב שהמסגרת קטנה מ 45 ל 30 ללא ידעתי. אשמח שתבררו את הנושא ותעדכנו אותי איך מחזירים את המסגרת למה שהיה. תודה,,העברות ותשלומים
כרטיסי אשראי,הי האם אפשר להזמין כ. אשראי 2345 שיהיה עם WiFi כי בקיים אין לי. אבל שישאר עם אותו מספר ותוקף ?,,עדכון פרטים אישיים והרשאות
ניירות ערך,הי אודה לכם אם תפתחו לי הרשאה למסחר באופציות ארה״ב תודה,,שיקים
ניירות ערך,לא טופלה עדיין הבקשה שלי להרשאות למסחר באופציות ארה״ב שלחתי את כל הטפסים מספר פעמים.,,
מטבע חוץ,"בצעתי פעולה בני""ע וביקשתי שתהיה בשקלים. בפועל אני רואה שהפעולה בוצעה בחשבון המטח. האם אני צריך לבצע העברה מהעו""ש למט""ח?",,
הלוואות ומסגרת חשבון,מבקש שתחזרו אלי בהקדם האפשרי לגבי מסגרת האשראי בכרטיס הבנקאי שמסתיים ב 2345. לא הגיוני שכל חודש אצטרך להתעסק בשינוי / הגדלת מסגרת האשראי.,,
הלוואות ומסגרת חשבון,בהמשך לשיחתי עם ברכה אשמח שתחזרי אליי בנושא הלוואה לרכישת רכב. רציתי לברר לגבי חברת יונייטד מוטורס.,,
הלוואות ומסגרת חשבון,הי  בהמשך לשיחתנו מצ״ב טופס ההמלצה להלוואה מקיה/טלקאר.,,
הלוואות ומסגרת חשבון,הי אודה לך שתחזרי אלי להשלים את תהליך לקיחת ההלוואה לרכישת רכב.,,
הלוואות ומסגרת חשבון,צריך לחתום על הטופס של ההלוואה. אשמח אם תוכלי להתקשר היום.,,
נושאים נוספים,רציתי להבין למה אתם גובים ממני ריבית על המינוס כל רבעון בגובה של 600 ש״ח + בעיקר שבכל התקופה הזאת לא הייתי במינוס - לא הגיוני!!,,
שיקים,חסר לי צ׳ק מספר 1234 - בלי סיבה - מבקש שתחזרו אלי מיד - זה ממש לא בסדר!,,
שיקים,כמה זמן אחרי אפשר להפקיד צ׳ק ?,,
שיקים,מה הסכום המקסימלי שאפשר לכתוב על צ׳ק ?,,
כרטיסי אשראי,נחסם לי הכרטיס - מספר 3456 - מבקש לשחרר אותו בהקדם!! אני תקוע בחו״ל,,
כרטיסי אשראי,"ראיתי שהייתה עסקה בגובה 2700 שקל שלא ביצעתי בכרטיס, מה הסיפור??? אפשר לחזור אלי ?",,
כרטיסי אשראי,"שלום, איכן אני יכול לבקש החלפת כרטיס החיוב שאבד לי?",,
משכנתאות,מה המסמכים הנדרשים להגשת בקשה למשכנתא ? ואיך אני מבצע את זה ? חייבים להגיע לסניף ?,,
משכנתאות,למה ההחזר החודשי שלי במשכנתא עלה ב 500 שקל ?,,
משכנתאות,איך אני יכול להקטין את ההחזר החודשי של המשכנתא ?,,
אישורים ודוחות,אני צריך טופס תנועות בחשבון של ה 90 יום האחרונים - מבקש שתשלחו לי בהקדם,,
פקדונות וחסכונות,כמה ריבית אקבל על פק״מ על 15000 שקל ?,,
פקדונות וחסכונות,מה תחנות היציאה של הפקדון שלי שיש בו 100 אלף ש״ח,,
אישורים ודוחות,איך אני מקבל תעודת זהות פיננסית ?,,
אישורים ודוחות,"אני צריך דו״ח מצ״ב חשבון ודו״ח הכנסות והוצאות שנתי, יכולים לשלוח לי ?",,
עדכון פרטים אישיים והרשאות,איך אני מעדכן את מספר הנייד שלי ? התחךף לי המספר,,
עדכון פרטים אישיים והרשאות,"עברתי דירה , את מי אני מעדכן ?",,
עדכון פרטים אישיים והרשאות,מה צריך בכדי לעדכן את הכתובת שלי בחשבון ?,,
העברות ותשלומים,אני צריך צ׳ק בנקאי על סך 150 אלף ש״ח - אפשר להכין לי ?,,
העברות ותשלומים,"מבקש להעביר 50 אש״ח לחשבון של הבת שלי מספר 1234567 , נא אשרו ביצוע",,
נושאים נוספים,מה גובה ריבית הפריים ואיך זה משפיע על המשכנתא שלי ?,,
נושאים נוספים,מנסה לתפוס את הבנק בטלפון שבוע !!!! השארתי מלא הודעות - תחזרו כבר,,
נושאים נוספים,איך אני נותן הרשאה לפעילות בחשבון לאבא שלי ? תחזרו אלי ! זה דחוף !!!,,
מטבע חוץ,מהו שער ההמרה הנוכחי מדולר אמריקאי ליורו?  אני יכול להחליף בסניף ?,,
הלוואות ומסגרת חשבון,האם תוכל לעדכן אותי בהקדם בסטטוס אישור בקשת ההלוואה לרכב שלי?,,
נושאים נוספים,שכחתי את סיסמת הכניסה לבנק . איך אני יכול לאפס אותה?,,
נושאים נוספים,אני רוצה לסגור את החשבון שלי. מהם השלבים הנדרשים להתחיל את התהליך?,,
כרטיסי אשראי,מהו המקסימום למשיכת מזומנים ביום מהכספומט בכרטיס שלי?,,
שיקים,אני צריך לבטל צ'ק. איך אני עושה את זה ?,,
עדכון פרטים אישיים והרשאות,"רוצה לצרף את אשתי לחשבון , מה המסמכים הנדרשים ?",,
הלוואות ומסגרת חשבון,האם תוכל לספק מידע על אפשרויות החזרת הלוואה עבור הלוואות הסטודנט?,,
כרטיסי אשראי,הארנק שלי נגנב. איך אני יכול לחסום את הכרטיסים  שלי?,,
פקדונות וחסכונות,מה הריבית הכי משתלמת על חסכון שיש אצלכם?,,
פקדונות וחסכונות,לכמה זמן אפשר לפתוח תוכנית חסכון ומה מינימום ההפקדה?,,
כרטיסי אשראי,איך אני יודע כמה גודיס יש לי בכרטיס,,
נושאים נוספים,מה הם שעות הפעילות של הסניף קרית ביאליק,,
נושאים נוספים,מבקש שגילה תחזור אלי דחוף בהמשך לשיחה היום שהתנתקה !!!,,
פקדונות וחסכונות,האם יש לכם תוכנית חסכון לילדים? מהן ההטבות שלו?,,
